company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
Canoo,58,6,7/1/2022,Transportation,"Torrance, California",Business Insider,Private,
Wonder,130,7,11/30/2022,"Food delivery, ecommerce",New York,The Information,Private,
Argyle,20,7,8/26/2022,InsurTech,New York,TechCrunch,Private,
Kabam,35,7,11/9/2022,video games,San Francisco,TechCrunch,Private,
Upstart,60,7,11/1/2022,Fintech,"San Carlos, CA",TechCrunch,Private,
Gemini,68,7,7/18/2022,Crypto,New York,TechCrunch,Private,
Faire,84,7,11/3/2022,"E-commerce, retail",San Francisco,The Information,Private,
Convoy,90,7,6/9/2022,Logistics,Seattle,GeekWire,Private,
DataRobot,Unclear,7,8/8/2022,Artificial Intelligence,Boston,Boston Globe,Private,
ShipBob,Unclear,7,8/25/2022,"Shipping, Logistics",Chicago,Business Insider,Private,
ClickUp,Unclear,7,5/24/2022,Productivity Tools,San Diego,Protocol,Private,
Innovaccer,120,8,9/1/2022,"Cloud Infrastructure, health care",San Francisco,Inc42,Private,
StockX,120,8,6/28/2022,E-commerce,Detroit,The Information,Private,
Albert,20,8,6/10/2022,FinTech,Los Angeles,dot.LA,Private,
Personetics,30,8,1/5/2023,"Fintech, analytics",New York,Calcalistech,Private,
Bright Machines,30,8,6/28/2022,Robotics,San Francisco,CTech,Private,
Stash Financial,32,8,12/6/2022,"fintech, personal finance",New York,Stash,Private,
Dutchie,56,8,6/6/2022,Cannabis,"Bend, Oregon",GeekWire,Private,
Stord,59,8,6/3/2022,Logistics,Atlanta,Business Insider,Private,
Niantic,85,8,6/29/2022,"Video Games, AR",San Francisco,Bloomberg,Private,
Picsart,90,8,5/17/2022,Media/entertainment,Miami,The Information,Private,
Jellysmack,Unclear,8,6/9/2022,Media/Entertainment,New York,Business Insider,Private,
Remote,100,9,7/6/2022,HR Tech,San Francisco,Publico,Private,
Vox Media,169,9,1/20/2023,"Digital media, journalism","Washington, DC",CNN,Private,
Yotpo,70,9,11/16/2022,"marketing, media",New York,Calcalistech,Private,
Aura,70,9,6/24/2022,Cybersecurity,Boston,Bank Info Security,Private,
Komodo Health,78,9,12/13/2022,"Health care, predictive analytics",San Francisco,TechCrunch,Private,
Jellyfish US,Unclear,9,1/13/2023,"engineering, software",Boston,BostonInno,Private,
Khoros,120,10,10/21/2022,"SaaS, enterprise software",Austin,Austin Business News,Private,
Bonterra,140,10,1/13/2023,"social impact, finance",Distributed,The Nonprofit Times,Private,
Chargebee,142,10,11/2/2022,"Fintech, SaaS",San Francisco,TechCrunch,Private,
6sense,150,10,10/12/2022,"Artificial Intelligence, Machine Learning",San Francisco,MoneyControl,Private,
Relativity,150,10,12/7/2022,"Data science, enterprise",Chicago,Crain's Chicago,Private,
TIFIN,21,10,6/14/2022,FinTech,Boulder,Axios,Private,
Lusha,30,10,7/18/2022,Sales tech,New York,CTech,Private,
Aqua Security,65,10,12/5/2022,"SecOps, security","Burlington, MA",Calcalistech,Private,
Spin,78,10,9/30/2022,Transportation,San Francisco,TechCrunch,Private,
Verbit,80,10,7/5/2022,Natural Language Processing,New York,CTech,Private,
ZenLedger,Unclear,10,12/9/2022,"Blockchain, cryptocurrency","Bellevue, WA",Blockworks,Private,
Firework,Unclear,10,11/29/2022,"e-commerce, retail",San Francisco,The Information,Private,
Mythical Games,Unclear,10,11/4/2022,"Video games, blockchain",Los Angeles,Bloomberg,Private,
Apartment List,Unclear,10,8/31/2022,Proptech,San Francisco,CEO Matthew Woods,Private,
impact.com,Unclear,10,8/25/2022,Digital marketing,"Santa Barbara, CA",impact.com,Private,
80 Acres Farms,Unclear,10,1/18/2023,"indoor farming, agtech","Hamilton, OH",CincinnatiInno,Private,
98point6,Unclear,10,7/21/2022,Health Care,Seattle,GeekWire,Private,
Gemini,Unclear,10,6/2/2022,"Fintech, Crypto",New York,Bloomberg,Private,
Side,Unclear,10,6/1/2022,PropTech,San Francisco,Inman,Private,
Carta,200,10,1/11/2023,Fintech,San Francisco,TechCrunch,Private,
ConsenSys,100,11,1/10/2023,"Cryptocurrency, FinTech",New York,CoinDesk,Private,
Tipalti,123,11,1/11/2023,FinTech,San Mateo,Calcalistech,Private,
Brex,136,11,10/11/2022,Fintech,San Francisco,TechCrunch,Private,
Salsify,90,11,11/16/2022,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private,
SADA,Unclear,11,11/8/2022,"Cloud computing, IT",Los Angeles,SADA CEO,Private,
Momentive,Unclear,11,10/14/2022,information technology,"Waterford, MI",TechCrunch,Private,
Automox,Unclear,11,4/18/2022,Security,Boulder,LinkedIn,Private,
Klarna,750,12,9/22/2022,Fintech,Stockholm,Sifted,Private,
JumpCloud,100,12,1/18/2023,"Cloud services, cybersecurity","Louisville, CO",JumpCloud,Private,
Chime,156,12,11/2/2022,Fintech,San Francisco,The Information,Private,
Embroker,30,12,10/25/2022,InsurTech,San Francisco,The Insurer,Private,
Divvy Homes,40,12,9/27/2022,PropTech,San Franicsco,The Information,Private,
Ethos Life,40,12,6/24/2022,InsurTech,San Francisco,Coverager,Private,
GoFundMe,94,12,10/26/2022,Crowdfunding,"Redwood City, CA",GoFundMe,Private,
Digital Currency Group,10,13,11/2/2022,Cryptocurrency,"Stamford, CT",Coindesk,Private,
Intercom,124,13,11/14/2022,"customer service, automation",San Franicsco,Silicon Republic,Private,
SundaySky,24,13,7/11/2022,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees."
Chipper Cash,50,13,12/6/2022,"fintech, money transfer",San Francisco,TechCrunch,Private,
Udacity,55,13,10/11/2022,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,
Sourcepoint,7,13,6/2/2022,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.
Thirty Madison,Unclear,13,8/18/2022,"health care, wellness",Greater New York area,Fierce Healthcare,Private,
Sendoso,100,14,6/6/2022,Marketing Automation,San Francisco,Business Insider,Private,
Malwarebytes,125,14,8/17/2022,"security, enterprise software",San Francisco,TechCrunch,Private,
Substack,13,14,6/29/2022,"Media, Content Creators",San Francisco,New York Times,Private,
Morning Brew,Unclear,14,11/17/2022,"Media, news",New York,Max Tani,Private,
Benitago Group,Unclear,14,11/4/2022,"e-commerce, retail",New York,TechCrunch,Private,
Juniper Square,Unclear,14,9/6/2022,Proptech,San Francisco,The Real Deal,Private,
Nayya,16,15,6/17/2022,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private,
Verily,250,15,1/11/2023,"health care, data collection",San Francisco,The Information,Private,
CyCognito,30,15,12/8/2022,Cybersecurity,Palo Alto,Calcalistech,Private,
Zumper,45,15,6/16/2022,PropTech,San Francisco,The Real Deal,Private,
Polly,47,15,12/2/2022,"Insurtech, fintech","Williston, VT",VT Digger,Private,
Woven,5,15,8/16/2022,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,
The Mom Project,54,15,7/20/2022,Talent marketplace,Chicago,LinkedIn,Private,
SonderMind,Unclear,15,12/16/2022,telehealth,Denver,Denver Business Journal,Private,
Apollo,Unclear,15,12/15/2022,"developer APIs, enterprise software",San Francisco,Apollo,Private,
Code42,Unclear,15,11/7/2022,"Cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,
Flowhub,Unclear,15,9/9/2022,Cannabis,Dever,Business Insider,Private,
Daily Harvest,Unclear,15,8/8/2022,"Food delivery, ecommerce",New York City,Fortune,Private,
Rock Content,Unclear,15,1/12/2023,"content marketing, advertising","Boca Raton, FL",Terra,Private,
Lattice,Unclear,15,1/12/2023,"Enterprise applications, HR",San Francisco,Lattice CEO Jack Altman,Private,
Citrix Systems,Unclear,15,1/10/2023,"Security, SaaS","Fort Lauderdale, FL",TechCrunch,Private,
WHOOP,Unclear,15,7/21/2022,Fitness,Boston,Front Office Sports,Private,
Papa,Unclear,15,7/14/2022,Elder Care,Miami,LinkedIn,Private,
Sundae,Unclear,15,6/28/2022,"PropTech, Real Estate",San Francisco,Real Trends,Private,
TruePill,Unclear,15,6/8/2022,Health Care,"Hayward, California",TruePill,Private,
Terminus,Unclear,15,5/27/2022,Marketing,Atlanta,LinkedIn,Private,
Outside Inc,Unclear,15,5/20/2022,Media/entertainment,Boulder,Denver Business Journal,Private,
Stream,20,15,6/30/2022,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,
Carbon Health,450,16,1/6/2023,Health Care,San Francisco,Carbon Health CEO Eren Bali,Private,
Jam City,200,17,8/4/2022,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,
Next Insurance,150,17,7/7/2022,InsurTech,Palo Alto,CTech,Private,
OwnBackup,170,17,11/15/2022,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,
Everlane,30,17,1/5/2023,"Fashion, e-commerce",San Francisco,The Information,Private,
Patreon,80,17,9/13/2022,Social media,San Francisco,The Information,Private,
Recharge,84,17,10/27/2022,Fintech,Los Angeles,Recharge CEO,Private,
Nextiva,Unclear,17,12/6/2022,Customer service,Phoenix,Channel Futures,Private,
Grove Collaborative,Unclear,17,3/29/2022,E-commerce,San Francisco,Retail Dive,Private,
Lithic,27,18,12/7/2022,Fintech,New York,Axios,Private,
SQream Technologies,30,18,7/6/2022,Data Analytics,New York,CTech,Private,
Emotive,30,18,7/7/2022,SMS Marketing,Los Angeles,dot.LA,Private,
Amount,Unclear,18,6/27/2022,FinTech,Chicago,TechCrunch,Private,
Ro,Unclear,18,6/23/2022,Health Care,New York,TechCrunch,Private,
Socure,104,19,1/5/2023,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private,
Postscript,43,19,6/26/2022,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private,
Qumolo,80,19,6/29/2022,Data storage,Seattle,GeekWire,Private,
OfferUp,Unclear,19,11/15/2022,"E-commerce, marketplace","Bellevue, WA",GeekWire,Private,
Change.org,Unclear,19,7/28/2022,CivicTech,San Francisco,Change.org,Private,
HomeLight,Unclear,19,6/29/2022,"Proptech, Real Estate",San Francisco,The Real Deal,Private,
Homeward,120,20,8/11/2022,"Real Estate, PropTech",Austin,The Real Deal,Private,
Turntide,130,20,7/28/2022,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,
Flyhomes,150,20,7/20/2022,"Real Estate, PropTech",Seattle,GeekWire,Private,
Curology,150,20,3/16/2022,E-commerce,San Francisco,SF Business Times,Private,
MasterClass,156,20,6/22/2022,Edtech,San Francisco,MasterClass CEO David Rogier,Private,
Lacework,200,20,5/26/2022,Cybersecurity,San Jose,The Information,Private,
Equitybee,25,20,10/31/2022,Fintech,San Francisco,Calcalistech,Private,
Airtable,254,20,12/8/2022,"Data science, enterprise",San Francisco,Airtable,Private,
Plaid,260,20,12/7/2022,Fintech,San Francisco,TechCrunch,Private,
Nate,30,20,8/30/2022,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
Coterie Insurance,30,20,5/27/2022,InsurTech,Cincinnati,CincyInno,Private,
Intrinsic,40,20,1/11/2023,"robotics, AI","Mountain View, CA",This Information,Private,
Rhino,57,20,2/3/2022,"PropTech, InsurTech",New York,The Real Deal,Private,
Flexport,640,20,1/11/2023,shipping and logistics,San Francisco,CNBC,Private,
Redesign Health,67,20,10/10/2022,health care,New York,Fast Company,Private,
Astronomer,76,20,1/4/2023,"Data analytics, cloud services",Cincinnati,Astronomer,Private,
Calm,90,20,8/11/2022,"personal health, wellness",San Francisco,Wall Street Journal,Private,
Shippo,Unclear,20,11/3/2022,Logistics,San Francisco,Shippo CEO,Private,
Brightline,Unclear,20,11/1/2022,Health care,"Palo Alto, CA",Behavioral Health Business,Private,
Scale,Unclear,20,1/9/2023,"AI, image recognition",San Francisco,Scale,Private,
OpenSea,Unclear,20,7/14/2022,"Crypto, NFT marketplace",New York,Devin Finzer,Private,
Buzzer,Unclear,20,6/20/2022,"Media, Sports",New York,Sportico,Private,
Greenlight,104,21,1/12/2023,"Fintech, banking",Atlanta,TechCrunch,Private,
Flipboard,24,21,10/16/2022,News,"Palo Alto, CA",Axios,Private,
Advata,32,21,10/28/2022,"health care, analytics","Bellevue, WA",GeekWire,Private,
Superhuman,23,22,6/3/2022,Email Software,San Francisco,CEO Rahul Vohra,Private,
Exodus,59,22,11/4/2022,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,
Tonkean,23,23,6/15/2022,Software,San Francisco,The Marker,Private,
Lokalise,76,23,11/16/2022,"Saas, APIs","Dover, DE",Lokalise founders,Private,
Karbon,Unclear,23,9/12/2022,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,
Loom,57,24,10/20/2022,Enterprise Communication,San Francisco,SFGate,Private,
Cedar,Unclear,24,7/7/2022,Health Care,New York,Business Insider,Private,
Hyperscience,100,25,3/3/2022,AI,New York,The Information,Private,
Celsius,150,25,7/3/2022,Crypto,"Hoboken, New Jersey",CTech,Private,
Baton,16,25,6/29/2022,"Transporation, Logistics",San Francisco,Freight Waves,Private,
Policygenius,170,25,6/2/2022,InsurTech,New York,TechCrunch,Private,
IRL,25,25,6/2/2022,Social Media,San Francisco,TechCrunch,Private,
Vise,25,25,5/4/2022,Fintech,New York,CityWire,Private,
Section4,32,25,5/12/2022,Edtech,New York,TechCrunch,Private,
Capitolis,37,25,11/17/2022,Fintech,New York,Calcalistech,Private,
On Deck,72,25,5/5/2022,Business development,San Francisco,TechCrunch,Private,
Outschool,74,25,12/10/2022,EdTech,San Francisco,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time."
OneTrust,950,25,6/9/2022,Cybersecurity,Atlanta,OneTrust,Private,
OneStudyTeam,Unclear,25,12/6/2022,"health care, cloud infrastructure",Boston,Mobi Health News,Private,
Homeward,Unclear,25,11/16/2022,Proptech,"Austin, TX",Homeward,Private,
Medium,Unclear,25,9/6/2022,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,
SafeGraph,27,25,6/27/2022,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private,
DataRobot,Unclear,26,8/23/2022,"AI, enterprise software",Boston,The Information,Private,
EquityZen,30,27,10/31/2022,Fintech,New York,Axios,Private,
Clear Capital,378,27,10/14/2022,PropTech,"Truckee, CA",TechCrunch,Private,
Shelf Engine,43,29,7/29/2022,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,
Veev,100,30,11/11/2022,PropTech,San Mateo,Calcalistech,Private,
Pacaso,100,30,10/11/2022,PropTech,San Francisco,Inman,Private,
Snappy,100,30,1/13/2023,"social impact, company benefits",New York,Calcalistech,Private,
Kraken,1100,30,11/30/2022,Cryptocurrency,San Francisco,Kraken,Private,
AtoB,32,30,10/19/2022,FinTech,San Francisco,SFGate,Private,
Genesis,60,30,1/5/2023,"Cryptocurrency, blockchain",New York,CNBC,Private,
Almanac,Unclear,30,8/13/2022,"Collaboration, productivity",San Francisco,LinkedIn,Private,
SuperRare,Unclear,30,1/6/2023,"Blockchain, cryptocurrency","Newark, DE",TechCrunch,Private,
Homie,162,32,10/4/2022,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,
Socure,173,32,1/5/2023,Identity verification,Reno,Biometric Update,Private,
Bolt,250,33,5/25/2022,FinTech,San Francisco,Fortune,Private,
Candy Digital,33,33,11/28/2022,Cryptocurrency,New York,Decrypt,Private,
Ideoclick,40,33,5/4/2022,E-commerce,Seattle,Puget Sound Business Journal,Private,
Brave Care,40,33,9/6/2022,"Pediatrics, telehealth",Portland,The Oregonian,Private,
Tomo,44,33,5/31/2022,"FinTech, PropTech",Stamford,Business Insider,Private,
MainStreet,50,33,5/4/2022,Fintech,San Jose,Insider,Private,
Replicated,50,33,5/31/2022,Enterprise Software,Los Angeles,Replicated,Private,
Hologram,80,33,6/9/2022,IoT,Chicago,Crain's Chicago Business,Private,
Esper,Unclear,33,1/10/2023,DevOps,Seattle,GeekWire,Private,
TruePill,Unclear,33,9/30/2022,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,
Happy Money,158,34,11/30/2022,"Fintech, payments",Los Angeles,LinkedIn reports,Private,
Tonal,262,35,7/13/2022,Fitness,San Francisco,CNBC,Private,
Hydrow,70,35,7/21/2022,Fitness,Boston,Boston Globe,Private,
Callisto Media,Unclear,35,10/25/2022,Analytics,"Emeryville, California",Publishers Weekly,Private,
Lunchbox,Unclear,37,1/10/2023,"Restaurant Tech, Food Tech",New York,Business Insider,Private,
Fabric,120,40,7/13/2022,"E-commerce, Logistics",New York,TechCrunch,Private,
Rasa,59,40,4/4/2022,Artificial Intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees."
NCX,Unclear,40,11/28/2022,"Renewable energy, forestry",San Francisco,NCX,Private,
Fundbox,150,42,10/25/2022,Fintech,San Francisco,Calcalistech,Private,
Zeus Living,64,46,10/20/2022,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,
Knock,Unclear,46,3/15/2022,Proptech,New York,The Real Deal,Private,
Ocavu,20,48,11/10/2022,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,
Better.com,5000,50,4/19/2022,Fintech,New York,TechCrunch,Private,
Virgin Hyperloop,111,50,2/22/2022,Transporation,Los Angeles,Fortune,Private,
Notarize,170,50,10/31/2022,Legal Tech,Boston,Boston Business Journal,Private,
Iron Ox,50,50,11/2/2022,"AgTech, food and beverage",San Francisco,TechCrunch,Private,
BloomTech,88,50,12/1/2022,Edtech,San Francisco,TechCrunch,Private,
Medly Pharmacy,Unclear,50,9/7/2022,"Pharmacy, health care",New York,Crain's New York,Private,
Bizzabo,220,60,12/1/2022,Virtual Event,New York,Calcalistech,Private,
Parler,60,75,1/10/2023,Social media,"Nashville, TN",The Verge,Private,
Mojo Vision,Unclear,75,1/6/2023,"AR, health care","Saratoga, CA",TechCrunch,Private,
Uniphore,76,76,1/3/2023,"Artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private,
Butler Hospitality,1000,100,7/8/2022,Hospitality,New York,TechCrunch,Private,
SummerBio,101,100,6/20/2022,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private,
Reali,140,100,8/24/2022,PropTech,"San Mateo, CA",Calcalistech,Private,
Fast,400,100,4/5/2022,Fintech,San Francisco,The Information,Private,
Protocol Media,60,100,11/15/2022,"News, media",San Francisco,CNN,Private,
WanderJaunt,85,100,7/1/2022,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,
Wyre,Unclear,100,1/4/2023,"Cryptocurrency, blockchain",San Francisco,Blockworks,Private,
Lantern,Unclear,100,1/6/2023,"E-commerce, consumer lending","Grand Rapids, MI",Lantern CEO Meredith Mahoney,Private,
Lora DiCarlo Inc.,Unclear,100,12/2/2022,"Wellness, consumer goods","Bend, OR",TechCrunch,Private,
Bitfront,Unclear,100,11/29/2022,Cryptocurrency,"Palo Alto, CA",Reuters,Private,
Assure,Unclear,100,11/23/2022,Fintech,Salt Lake City,Axios,Private,
GloriFi,Unclear,100,11/21/2022,Fintech,Dallas,WSJ,Private,
Kite,Unclear,100,11/16/2022,"AI, coding",San Francisco,Kite,Private,
Wavely,Unclear,100,11/10/2022,"hiring, HR","Palo Alto, CA",Wavely,Private,
Fifth Season,Unclear,100,10/28/2022,Vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,
Argo AI,Unclear,100,10/26/2022,Transportation,Pittsburgh,TechCrunch,Private,
CommonBond,Unclear,100,9/9/2022,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,
The Wing,Unclear,100,8/31/2022,Coworking,New York,The Information,Private,
Edmodo,Unclear,100,8/16/2022,Edtech,"San Mateo, CA",EdSurge,Private,
Haus,Unclear,100,8/8/2022,food and beverage,"Healdsburg, CA",TechCrunch,Private,
BlockFi,Unclear,100,11/28/2022,Crypto,Jersey City,Decrypt,Private,
Pesto,Unclear,100,9/23/2022,"IT, future of work",San Francisco,Pesto announcement,Private,
Kitty Hawk,Unclear,100,9/21/2022,aerospace,Mountain View,CNBC,Private,
Subspace,Unclear,100,5/13/2022,Media/entertainment,Los Angeles,LinkedIn,Private,
Halcyon Health,Unclear,100,4/15/2022,Health Care,New York,Axios,Private,
Ahead,Unclear,100,4/14/2022,Health Care,"Santa Clara, CA",Bloomberg,Private,
100 Thieves,12,Unclear,1/10/2023,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees."
Orbit,14,Unclear,8/12/2022,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
Cybereason,100,Unclear,6/1/2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
Progrexion,100,Unclear,6/7/2022,FinTech,Salt Lake City,Crunchbase News,Private,
Gem,100,Unclear,11/2/2022,Recruiting,San Francisco,Gem CEO,Private,
Glossier,104,Unclear,8/2/2022,Beauty,New York,Modern Retail,Private,
Stripe,1050,Unclear,11/3/2022,Fintech,San Francisco,Bloomberg,Private,
Curative,109,Unclear,9/20/2022,health diagnostics,Los Angeles,Digital Health,Private,
Noom,1095,Unclear,10/11/2022,Fitness/Digital Health,New York,TechCrunch,Private,
Homepoint,113,Unclear,11/17/2022,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
Arc,13,Unclear,7/20/2022,HR Tech,Mountain View,LinkedIn,Private,
ChowNow,140,Unclear,12/14/2022,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,
Healthcare.com,149,Unclear,8/3/2022,Insurtech,"Miami, FL",Miami Inno,Private,
Finite State,16,Unclear,6/17/2022,Cybersecurity,Columbus,ColumbusInno,Private,
Rad Power Bikes,163,Unclear,7/21/2022,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
Cameo,167,Unclear,5/4/2022,Media/entertainment,Chicago,The Information,Private,
Weedmaps,175,Unclear,12/6/2022,"Marijuana, marketing","Irvine, CA",Business Insider,Private,
Orchard,180,Unclear,11/17/2022,Proptech,New York,Inman,Private,
Clyde,19,Unclear,4/25/2022,E-commerce,New York,External Spreadsheet,Private,
AvantStay,224,Unclear,11/9/2022,Travel,Los Angeles,Skift,Private,
Booking.com,226,Unclear,11/1/2022,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
Aspire,23,Unclear,7/15/2022,Marketing tech,San Francisco,Business Insider,Private,
Gopuff,2300,Unclear,10/21/2022,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October."
Eaze,25,Unclear,6/2/2022,Cannabis,San Francisco,Business Insider,Private,
Nuro,310,Unclear,11/18/2022,Transportation,Mountain View,The Robot Report,Private,
Citizen,33,Unclear,1/11/2023,Surveillance,New York,TechCrunch,Private,
Balto,35,Unclear,12/12/2022,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,
Hopin,370,Unclear,7/11/2022,Virtual Event,London,TechCrunch,Private,
Vial,40,Unclear,1/13/2023,"health care, clinical trials",San Francisco,Business Insider,Private,
Wistia,40,Unclear,11/10/2022,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
FreshDirect,40,Unclear,8/25/2022,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
Adwerx,40,Unclear,7/12/2022,Digital Marketing,"Durham, North Carolina",Inman,Private,
Community,40,Unclear,6/22/2022,Social Media,Los Angeles,Business Insider,Private,
Esme Learning,40,Unclear,6/2/2022,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
Luxury Presence,44,Unclear,1/17/2023,"proptech, advertising","Santa Monica, CA",Inman,Private,
Hubilo,45,Unclear,7/12/2022,Virtual Events,San Francisco,Inc42,Private,
Olive,450,Unclear,7/19/2022,Health Care,Columbus,Olive,Private,
Imperfect Foods,50,Unclear,8/1/2022,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,
Tempo Automation,54,Unclear,8/17/2022,automotive,San Francisco,San Francisco Business Times,Private,
Chili Piper,58,Unclear,11/17/2022,"enterprise software, productivity",New York,Chili Piper,Private,
On Deck,73,Unclear,8/4/2022,"Networking, business development",San Francisco,TechCrunch,Private,
Varo,75,Unclear,7/20/2022,Fintech,San Francisco,Axios,Private,
Nylas,80,Unclear,8/2/2022,"Software, Emails, API",San Francisco,Nylas,Private,
Career Karma,82,Unclear,1/12/2023,"Career planning, social network",San Francisco,TechCrunch,Private,
Rev.com,85,Unclear,10/7/2022,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
The Zebra,90,Unclear,11/15/2022,"Insurance, fintech","Austin, TX",Coverager,Private,
Colossus,97,Unclear,5/20/2022,"Solar, Software",Massachusetts,Axios,Private,
OnlyFans,Unclear,Unclear,8/1/2022,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
Talkdesk,Unclear,Unclear,5/19/2022,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off
StubHub,Unclear,Unclear,8/4/2022,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
